year,office,candidate,first_name_fix,middle_name_fix,last_name_fix,suffix_fix
2019,CITY COMMISSIONERS,LISA DEELEY,LISA,M,DEELEY,
2011,CITY COMMISSIONERS,MARIE DELANY,MARIE,G,DELANY,
2003,JUSTICE OF THE SUPREME COURT,JAMES M DELEON III,JAMES,M,DELEON,III
2007,JUDGE OF THE SUPERIOR COURT,JAMES M DELEON,JAMES,M,DELEON,III
2014,REPRESENTATIVE IN THE GENERAL ASSEMBLY,PAMELA DELISSIO,PAMELA,A,DELISSIO,
2016,REPRESENTATIVE IN THE GENERAL ASSEMBLY,PAM DELISSIO,PAMELA,A,DELISSIO,
2018,REPRESENTATIVE IN THE GENERAL ASSEMBLY,PAMELA DELISSIO,PAMELA,A,DELISSIO,
2015,JUDGE OF THE MUNICIPAL COURT,CHRISTIAN DICICCO,CHRISTIAN,A,DICICCO,
2003,DISTRICT COUNCIL,FRANK J DI CICCO,FRANK,J,DICICCO,
2007,JUDGE OF THE TRAFFIC COURT,HELEN HELLON D DIVERS,HELEN,HELLON,DIVERS,
2013,JUDGE OF THE TRAFFIC COURT,WAYNE E DORSEY,WAYNE,EDMUND,DORSEY,
2017,DISTRICT ATTORNEY,TARIQ KARIM EL SHABAZZ,TARIQ,KARIM,EL-SHABAZZ,
2004,AUDITOR GENERAL,BERLIE R ETZEL JR,BERLIE,R,ETZEL,JR
2008,STATE TREASURER,BERLIE ETZEL,BERLIE,R,ETZEL,JR
2003,DISTRICT COUNCIL,NESTER E GONZALEZ,NESTOR,E,GONZALEZ,
2003,JUDGE OF THE COURT OF COMMON PLEAS,ROGER F GORDON,ROGER,F,GORDON,JR
2011,JUDGE OF THE COURT OF COMMON PLEAS,ROGER F GORDON JR,ROGER,F,GORDON,JR
2011,DISTRICT COUNCIL,TRACEY GORDON,TRACEY,L,GORDON,
2019,REGISTER OF WILLS,TRACEY GORDON,TRACEY,L,GORDON,
2003,SHERIFF,JOHN GREEN,JOHN,D,GREEN,
2011,JUDGE OF THE COURT OF COMMON PLEAS,DAINE GREY JR,DAINE,A,GREY,JR
2015,JUDGE OF THE COURT OF COMMON PLEAS,DAINE GREY JR,DAINE,A,GREY,JR
2004,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ANDREW HOHNS,ANDREW,S,HOHNS,
2003,CITY COMMISSIONERS,EDGAR A HOWARD JR,EDGAR,A,HOWARD,JR
2007,CITY COMMISSIONERS,EDGAR HOWARD,EDGAR,A,HOWARD,JR
2005,JUDGE OF THE COURT OF COMMON PLEAS,"CARDWELL HUGHES,R YES S",CARDWELL,,HUGHES,
2004,SENATOR IN THE GENERAL ASSEMBLY,VINCENT HUGHES,VINCENT,J,HUGHES,
2016,SENATOR IN THE GENERAL ASSEMBLY,VINCENT HUGHES,VINCENT,J,HUGHES,
2010,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ANTHONY P JOHNSON,ANTHONY,PERNELL,JOHNSON,
2013,JUDGE OF THE TRAFFIC COURT,JAMES JOHNSON,JAMES,K,JOHNSON,
