year,election,office,candidate,first_name,middle_name,last_name,suffix
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,BABETTE JOSEPHS,BABETTE,,JOSEPHS,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LAWRENCE M FARNESE JR,LAWRENCE,M,FARNESE,JR
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,A LINDSAY DOERING,A,LINDSAY,DOERING,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,WILLIAM F KELLER,WILLIAM,F,KELLER,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ROBERT A MANNINO,ROBERT,A,MANNINO,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ROBERT C DONATUCCI,ROBERT,C,DONATUCCI,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,GREGORY GENTILE,GREGORY,,GENTILE,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,HAROLD JAMES,HAROLD,,JAMES,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DEVON CADE,DEVON,,CADE,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JAMES R ROEBUCK,JAMES,R,ROEBUCK,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,THOMAS W BLACKWELL,THOMAS,W,BLACKWELL,IV
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,WESTLEY D AMES,WESTLEY,D,AMES,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,RONALD G WATERS,RONALD,GRANVILLE,WATERS,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,BENNIE SWANS,BENNIE,,SWANS,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LOUISE BISHOP,LOUISE,WILLIAMS,BISHOP,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,KATHY MANDERINO,KATHY,M,MANDERINO,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,THOMAS CHRISTOPHER ROLLAND,THOMAS,CHRISTOPHER,ROLLAND,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,FRANK L OLIVER,FRANK,L,OLIVER,SR
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JEWELL WILLIAMS,JEWELL,,WILLIAMS,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ROSITA C YOUNGBLOOD,ROSITA,C,YOUNGBLOOD,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,SUPREME DOW,SUPREME,,DOW,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,CHERELLE L PARKER,CHERELLE,LESLEY,PARKER,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN MYERS,JOHN,,MYERS,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOSEPH L MESSA,JOSEPH,L,MESSA,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MARK B COHEN,MARK,B,COHEN,
2006,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DWIGHT EVANS,DWIGHT,,EVANS,
2006,primary,SENATOR IN THE GENERAL ASSEMBLY,CHRISTINE M TARTAGLIONE,CHRISTINE,M,TARTAGLIONE,
2006,primary,SENATOR IN THE GENERAL ASSEMBLY,CHRISTROPHER MORRIS,CHRISTROPHER,,MORRIS,
2006,primary,SENATOR IN THE GENERAL ASSEMBLY,LEANNA M WASHINGTON,LEANNA,M,WASHINGTON,
2006,primary,SENATOR IN THE GENERAL ASSEMBLY,ANTHONY H WILLIAMS,ANTHONY,HARDY,WILLIAMS,
2006,primary,UNITED STATES SENATOR,ALAN SANDALS,ALAN,,SANDALS,
2006,primary,UNITED STATES SENATOR,BOB CASEY JR,BOB,,CASEY,JR
2006,primary,UNITED STATES SENATOR,CHUCK PENNACCHIO,CHUCK,,PENNACCHIO,
2006,primary,UNITED STATES SENATOR,RICK SANTORUM,RICK,,SANTORUM,
2007,general,CITY COMMISSIONERS,ANTHONY CLARK,ANTHONY,,CLARK,
2007,general,CITY COMMISSIONERS,MARGARET M TARTAGLIONE,MARGARET,M,TARTAGLIONE,
2007,general,CITY COMMISSIONERS,LEWIS HARRIS JR,LEWIS,,HARRIS,JR
2007,general,CITY COMMISSIONERS,JOSEPH J DUDA,JOSEPH,J,DUDA,
2007,general,CITY COMMISSIONERS,PATRICK J CARROLL,PATRICK,JOHN,CARROLL,
2007,general,CLERK OF COURTS,VIVIAN T MILLER,VIVIAN,T,MILLER,
2007,general,CLERK OF COURTS,JOHN FEATHERMAN,JOHN,,FEATHERMAN,
2007,general,COUNCIL AT LARGE,BILL GREEN,BILL,,GREEN,
2007,general,COUNCIL AT LARGE,BLONDELL REYNOLDS BROWN,BLONDELL,REYNOLDS,BROWN,
2007,general,COUNCIL AT LARGE,JAMES F KENNEY,JAMES,F,KENNEY,
2007,general,COUNCIL AT LARGE,W WILSON GOODE JR,W,WILSON,GOODE,JR
2007,general,COUNCIL AT LARGE,WILLIAM K GREENLEE,WILLIAM,K,GREENLEE,
2007,general,COUNCIL AT LARGE,JACINTH BROWN ROBERTS,JACINTH,BROWN,ROBERTS,
2007,general,COUNCIL AT LARGE,DAVID OH,DAVID,H,OH,
2007,general,COUNCIL AT LARGE,FRANK RIZZO,FRANK,,RIZZO,
2007,general,COUNCIL AT LARGE,JACK KELLY,JACK,,KELLY,
2007,general,COUNCIL AT LARGE,PATRICIA A MATTERN,PATRICIA,A,MATTERN,
2007,general,COUNCIL AT LARGE,PHIL KERWICK,PHILIP,,KERWICK,
2007,general,COUNCIL AT LARGE,OSBORNE HART,OSBORNE,,HART,
2007,general,DISTRICT COUNCIL,FRANK J DICICCO,FRANK,J,DICICCO,
2007,general,DISTRICT COUNCIL,MICHAEL L SEIDENBERG,MICHAEL,L,SEIDENBERG,
