year,election,office,candidate,first_name,middle_name,last_name,suffix
2002,general,GOVERNOR,ED RENDELL,ED,,RENDELL,
2002,general,GOVERNOR,MICHAEL MORRILL,MICHAEL,,MORRILL,
2002,general,GOVERNOR,KEN V KRAWCHUK,KEN,V,KRAWCHUK,
2002,general,GOVERNOR,MIKE FISHER,MIKE,,FISHER,
2002,general,REPRESENTATIVE IN CONGRESS,ROBERT A BRADY,ROBERT,A,BRADY,
2002,general,REPRESENTATIVE IN CONGRESS,MIKE EWALL,MIKE,,EWALL,
2002,general,REPRESENTATIVE IN CONGRESS,MARIE G DELANY,MARIE,G,DELANY,
2002,general,REPRESENTATIVE IN CONGRESS,JOHN P MC DERMOTT,JOHN,P,MCDERMOTT,
2002,general,REPRESENTATIVE IN CONGRESS,JOSEPH M HOEFFEL,JOSEPH,M,HOEFFEL,
2002,general,REPRESENTATIVE IN CONGRESS,MELISSA BROWN,MELISSA,,BROWN,
2002,general,REPRESENTATIVE IN CONGRESS,CHAKA FATTAH,CHAKA,,FATTAH,
2002,general,REPRESENTATIVE IN CONGRESS,THOMAS G DOUGHERTY,THOMAS,G,DOUGHERTY,
2002,general,REPRESENTATIVE IN CONGRESS,TIMOTHY T REECE,TIMOTHY,T,REECE,
2002,general,REPRESENTATIVE IN CONGRESS,JIM GREENWOOD,JIM,,GREENWOOD,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ROY W CORNELL,ROY,W,CORNELL,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LAWRENCE H CURRY,LAWRENCE,H,CURRY,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DENNIS M O BRIEN,DENNIS,M,OBRIEN,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,HARRY C CITRINO III,HARRY,C,CITRINO,III
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,GEORGE T KENNEY JR,GEORGE,T,KENNEY,JR
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,PAUL PRIOR,PAUL,,PRIOR,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN M PERZEL,JOHN,M,PERZEL,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL P MC GEEHAN,MICHAEL,PATRICK,MCGEEHAN,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DAVID J LINSALATA,DAVID,J,LINSALATA,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ALAN BUTKOVITZ,ALAN,L,BUTKOVITZ,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,GLENN C ROMANO,GLENN,C,ROMANO,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MARIE LEDERER,MARIE,,LEDERER,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,PATRICK PARKINSON,PATRICK,,PARKINSON,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN J TAYLOR,JOHN,J,TAYLOR,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,WILLIAM W RIEGER,WILLIAM,W,RIEGER,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,FRANK M GARCIA,FRANK,M,GARCIA,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,TROY L BOUIE,TROY,L,BOUIE,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ANGEL CRUZ,ANGEL,L,CRUZ,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ERNST FORD,ERNST,,FORD,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,STEVEN N KUSH,STEVEN,N,KUSH,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,W CURTIS THOMAS,W,CURTIS,THOMAS,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,BABETTE JOSEPHS,BABETTE,,JOSEPHS,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JONATHAN S GOLDSTEIN,JONATHAN,S,GOLDSTEIN,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,WILLIAM KELLER,WILLIAM,F,KELLER,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ROBERT C DONATUCCI,ROBERT,C,DONATUCCI,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL C GALLAGHER,MICHAEL,C,GALLAGHER,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,HAROLD JAMES,HAROLD,,JAMES,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JAMES R ROEBUCK,JAMES,R,ROEBUCK,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL HORSEY,MICHAEL,,HORSEY,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,BRUCE M HARRIS,BRUCE,M,HARRIS,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,RONALD G WATERS,RONALD,GRANVILLE,WATERS,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LOUISE BISHOP,LOUISE,WILLIAMS,BISHOP,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,KATHY M MANDERINO,KATHY,M,MANDERINO,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,VALERIE A MC COY,VALERIE,A,VALERIE AMCCOY,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,FRANK L OLIVER,FRANK,L,OLIVER,SR
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JEWELL WILLIAMS,JEWELL,,WILLIAMS,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ROSITA C YOUNGBLOOD,ROSITA,C,YOUNGBLOOD,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LEANNA M WASHINGTON,LEANNA,M,WASHINGTON,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ROBERT G ROSSMAN,ROBERT,G,ROSSMAN,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN MYERS,JOHN,,MYERS,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOSEPH L MESSA,JOSEPH,L,MESSA,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MARK B COHEN,MARK,B,COHEN,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,GARY GRISAFI,GARY,,GRISAFI,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DWIGHT EVANS,DWIGHT,,EVANS,
2002,general,REPRESENTATIVE IN THE GENERAL ASSEMBLY,CHRISTOPHER COATES,CHRISTOPHER,,COATES,
2002,general,SENATOR IN THE GENERAL ASSEMBLY,CHRISTINE M TARTAGLIONE,CHRISTINE,M,TARTAGLIONE,
2002,general,SENATOR IN THE GENERAL ASSEMBLY,TRACI CONFER,TRACI,,CONFER,
2002,general,SENATOR IN THE GENERAL ASSEMBLY,GARY ADAM FELDMAN,GARY,ADAM,FELDMAN,
2002,general,SENATOR IN THE GENERAL ASSEMBLY,ALLYSON Y SCHWARTZ,ALLYSON,Y,SCHWARTZ,
2002,general,SENATOR IN THE GENERAL ASSEMBLY,RON HOLT,RON,,HOLT,
2002,general,SENATOR IN THE GENERAL ASSEMBLY,ANTHONY H WILLIAMS,ANTHONY,HARDY,WILLIAMS,
2002,general,SENATOR IN THE GENERAL ASSEMBLY,JOHN P MC KELLIGOTT,JOHN,P,MCKELLIGOTT,
2002,primary,GOVERNOR,BOB CASEY JR,BOB,,CASEY,JR
2002,primary,GOVERNOR,ED RENDELL,ED,,RENDELL,
2002,primary,GOVERNOR,MIKE FISHER,MIKE,,FISHER,
2002,primary,LIEUTENANT GOVERNOR,ALLEN G KUKOVICH,ALLEN,G,KUKOVICH,
2002,primary,LIEUTENANT GOVERNOR,CATHERINE BAKER KNOLL,CATHERINE,BAKER,KNOLL,
2002,primary,LIEUTENANT GOVERNOR,EDWARD C TRUAX,EDWARD,C,TRUAX,
2002,primary,LIEUTENANT GOVERNOR,J DAVID WOODARD,J,DAVID,WOODARD,
2002,primary,LIEUTENANT GOVERNOR,JACK WAGNER,JACK,,WAGNER,
2002,primary,LIEUTENANT GOVERNOR,JOHN A LAWLESS,JOHN,A,LAWLESS,
2002,primary,LIEUTENANT GOVERNOR,RON PANZA,RON,,PANZA,
2002,primary,LIEUTENANT GOVERNOR,RON WILLIAMS,RON,,WILLIAMS,
2002,primary,LIEUTENANT GOVERNOR,THADDEUS KIRKLAND,THADDEUS,,KIRKLAND,
2002,primary,LIEUTENANT GOVERNOR,JANE M EARLL,JANE,M,EARLL,
2002,primary,REPRESENTATIVE IN CONGRESS,ROBERT A BRADY,ROBERT,A,BRADY,
2002,primary,REPRESENTATIVE IN CONGRESS,MARIE G DELANY,MARIE,G,DELANY,
2002,primary,REPRESENTATIVE IN CONGRESS,JOSEPH M HOEFFEL,JOSEPH,M,HOEFFEL,
2002,primary,REPRESENTATIVE IN CONGRESS,AL TAUBENBERGER,AL,,TAUBENBERGER,
2002,primary,REPRESENTATIVE IN CONGRESS,MELISSA BROWN,MELISSA,,BROWN,
2002,primary,REPRESENTATIVE IN CONGRESS,CHAKA FATTAH,CHAKA,,FATTAH,
2002,primary,REPRESENTATIVE IN CONGRESS,THOMAS G DOUGHERTY,THOMAS,G,DOUGHERTY,
2002,primary,REPRESENTATIVE IN CONGRESS,JIM GREENWOOD,JIM,,GREENWOOD,
2002,primary,REPRESENTATIVE IN CONGRESS,TOM LINGENFELTER,TOM,,LINGENFELTER,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ROY W CORNELL,ROY,W,CORNELL,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LAWRENCE H CURRY,LAWRENCE,H,CURRY,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DENNIS M O BRIEN,DENNIS,M,OBRIEN,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JEFF CARUSO,JEFF,,CARUSO,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,GEORGE T KENNEY JR,GEORGE,T,KENNEY,JR
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,PAUL PRIOR,PAUL,,PRIOR,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN M PERZEL,JOHN,M,PERZEL,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL P MC GEEHAN,MICHAEL,PATRICK,MCGEEHAN,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DAVID J LINSALATA,DAVID,J,LINSALATA,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ALAN BUTKOVITZ,ALAN,L,BUTKOVITZ,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,GLENN C ROMANO,GLENN,C,ROMANO,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,A. J. THOMSON,A,J,THOMSON,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MARIE LEDERER,MARIE,,LEDERER,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MATTHEW N GALVIN,MATTHEW,N,GALVIN,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,PATRICK PARKINSON,PATRICK,,PARKINSON,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN J TAYLOR,JOHN,J,TAYLOR,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,WILLIAM W RIEGER,WILLIAM,W,RIEGER,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,TROY L BOUIE,TROY,L,BOUIE,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ANGEL CRUZ,ANGEL,L,CRUZ,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,STEVEN N KUSH,STEVEN,N,KUSH,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,W. CURTIS THOMAS,W,CURTIS,THOMAS,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ANDREW S HOHNS,ANDREW,S,HOHNS,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,BABETTE JOSEPHS,BABETTE,,JOSEPHS,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JONATHAN S GOLDSTEIN,JONATHAN,S,GOLDSTEIN,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,WILLIAM KELLER,WILLIAM,F,KELLER,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ROBERT C DONATUCCI,ROBERT,C,DONATUCCI,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL C GALLAGHER,MICHAEL,C,GALLAGHER,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,BILLY DENNY,BILLY,,DENNY,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,HAROLD JAMES,HAROLD,,JAMES,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JAMES R ROEBUCK,JAMES,R,ROEBUCK,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MICHAEL HORSEY,MICHAEL,,HORSEY,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,REGGIE HOWARD,REGGIE,,HOWARD,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,RONALD G JOHNSON,RONALD,G,JOHNSON,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,BRUCE M HARRIS,BRUCE,M,HARRIS,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,RONALD G WATERS,RONALD,GRANVILLE,WATERS,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LOUISE BISHOP,LOUISE,WILLIAMS,BISHOP,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,KATHY M MANDERINO,KATHY,M,MANDERINO,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,VALERIE A MC COY,VALERIE,A,VALERIE AMCCOY,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,FRANK L OLIVER,FRANK,L,OLIVER,SR
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,SHARIF STREET,SHARIF,T,STREET,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JEWELL WILLIAMS,JEWELL,,WILLIAMS,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ROSITA C YOUNGBLOOD,ROSITA,C,YOUNGBLOOD,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,LEANNA M WASHINGTON,LEANNA,M,WASHINGTON,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,ROBERT G ROSSMAN,ROBERT,G,ROSSMAN,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOHN MYERS,JOHN,,MYERS,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,JOSEPH L MESSA,JOSEPH,L,MESSA,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,MARK B COHEN,MARK,B,COHEN,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,GARY GRISAFI,GARY,,GRISAFI,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,DWIGHT EVANS,DWIGHT,,EVANS,
2002,primary,REPRESENTATIVE IN THE GENERAL ASSEMBLY,CHRISTOPHER COATES,CHRISTOPHER,,COATES,
2002,primary,SENATOR IN THE GENERAL ASSEMBLY,CHRISTINE M TARTAGLIONE,CHRISTINE,M,TARTAGLIONE,
2002,primary,SENATOR IN THE GENERAL ASSEMBLY,GARY ADAM FELDMAN,GARY,ADAM,FELDMAN,
2002,primary,SENATOR IN THE GENERAL ASSEMBLY,ALLYSON Y SCHWARTZ,ALLYSON,Y,SCHWARTZ,
2002,primary,SENATOR IN THE GENERAL ASSEMBLY,ANTHONY H WILLIAMS,ANTHONY,HARDY,WILLIAMS,
2002,primary,SENATOR IN THE GENERAL ASSEMBLY,JOHN P MC KELLIGOTT,JOHN,P,MCKELLIGOTT,
2003,general,CITY COMMISSIONERS,EDGAR A HOWARD JR,EDGAR,A,HOWARD,JR
2003,general,CITY COMMISSIONERS,MARGARET M TARTAGLIONE,MARGARET,M,TARTAGLIONE,
2003,general,CITY COMMISSIONERS,BRUCE M REED,BRUCE,M,REED,
2003,general,CITY COMMISSIONERS,JOSEPH J DUDA,JOSEPH,J,DUDA,
2003,general,CLERK OF COURTS,VIVIAN T MILLER,VIVIAN,T,MILLER,
2003,general,CLERK OF COURTS,MARCUS MITCHELL,MARCUS,,MITCHELL,
2003,general,COUNCIL AT LARGE,BLONDELL REYNOLDS BROWN,BLONDELL,REYNOLDS,BROWN,
2003,general,COUNCIL AT LARGE,DAVID COHEN,DAVID,,COHEN,
2003,general,COUNCIL AT LARGE,JAMES F KENNEY,JAMES,F,KENNEY,
2003,general,COUNCIL AT LARGE,JUAN F RAMOS,JUAN,F,RAMOS,
2003,general,COUNCIL AT LARGE,W WILSON GOODE JR,W,WILSON,GOODE,JR
2003,general,COUNCIL AT LARGE,WILL MEGA,WILL,,MEGA,
2003,general,COUNCIL AT LARGE,DAVID OH,DAVID,H,OH,
2003,general,COUNCIL AT LARGE,DAVID P HARDY,DAVID,P,HARDY,
2003,general,COUNCIL AT LARGE,FRANK RIZZO,FRANK,,RIZZO,
2003,general,COUNCIL AT LARGE,JACK KELLY,JACK,,KELLY,
2003,general,COUNCIL AT LARGE,JAMIE MC DERMOTT,JAMIE,,MCDERMOTT,
2003,general,COUNCIL AT LARGE,HILDA CUZCO,HILDA,,CUZCO,
2003,general,DISTRICT COUNCIL,FRANK J DI CICCO,FRANK,J,DICICCO,
2003,general,DISTRICT COUNCIL,RICK A CATALDI,RICK,A,CATALDI,
2003,general,DISTRICT COUNCIL,ROBERT MC CARTHY,ROBERT,,MCCARTHY,
2003,general,DISTRICT COUNCIL,BRIAN J O NEILL,BRIAN,J,ONEILL,
2003,general,DISTRICT COUNCIL,ANNA C VERNA,ANNA,C,VERNA,
2003,general,DISTRICT COUNCIL,PAULA A TERRERI,PAULA,A,TERRERI,
2003,general,DISTRICT COUNCIL,JANNIE L BLACKWELL,JANNIE,L,BLACKWELL,
2003,general,DISTRICT COUNCIL,MICHAEL A NUTTER,MICHAEL,A,NUTTER,
2003,general,DISTRICT COUNCIL,JAY M FEINSCHIL,JAY,M,FEINSCHIL,
2003,general,DISTRICT COUNCIL,DARRELL L CLARKE,DARRELL,L,CLARKE,
2003,general,DISTRICT COUNCIL,JOAN L KRAJEWSKI,JOAN,L,KRAJEWSKI,
2003,general,DISTRICT COUNCIL,VANDY L PARKS,VANDY,L,PARKS,
2003,general,DISTRICT COUNCIL,RICHARD T MARIANO,RICHARD,T,MARIANO,
2003,general,DISTRICT COUNCIL,NESTER E GONZALEZ,NESTOR,E,GONZALEZ,
2003,general,DISTRICT COUNCIL,DONNA REED MILLER,DONNA,REED,MILLER,
2003,general,DISTRICT COUNCIL,THOMAS HUTT,THOMAS,,HUTT,
2003,general,DISTRICT COUNCIL,DEBORAH WILLIAMS,DEBORAH,L,WILLIAMS,
2003,general,DISTRICT COUNCIL,MARIAN B TASCO,MARIAN,B,TASCO,
2003,general,DISTRICT COUNCIL,MATTHEW T MC KEON,MATTHEW,T,MCKEON,
2003,general,JUDGE OF THE COURT OF COMMON PLEAS,BRENDA FRAZIER CLEMONS,BRENDA,FRAZIER,CLEMONS,
2003,general,JUDGE OF THE COURT OF COMMON PLEAS,DORIS PECHKUROW,DORIS,,PECHKUROW,
2003,general,JUDGE OF THE COURT OF COMMON PLEAS,HOLLY J FORD,HOLLY,J,FORD,
2003,general,JUDGE OF THE COURT OF COMMON PLEAS,JEFFREY P MINEHART,JEFFREY,P,MINEHART,
2003,general,JUDGE OF THE COURT OF COMMON PLEAS,JOEL JOHNSON JR,JOEL,,JOHNSON,JR
2003,general,JUDGE OF THE COURT OF COMMON PLEAS,JOSEPH A DYCH,JOSEPH,A,DYCH,
2003,general,JUDGE OF THE COURT OF COMMON PLEAS,LESLIE FLEISHER,LESLIE,,FLEISHER,
2003,general,JUDGE OF THE COURT OF COMMON PLEAS,LORI A DUMAS,LORI,A,DUMAS,
2003,general,JUDGE OF THE COURT OF COMMON PLEAS,NINA WRIGHT PADILLA,NINA,WRIGHT,PADILLA,
2003,general,JUDGE OF THE COURT OF COMMON PLEAS,PAULA PATRICK,PAULA,A,PATRICK,
2003,general,JUDGE OF THE COURT OF COMMON PLEAS,RAMY ISAAC DJERASSI,RAMY,ISAAC,DJERASSI,
2003,general,JUDGE OF THE COURT OF COMMON PLEAS,BRAD MOSS,BRAD,,MOSS,
2003,general,JUDGE OF THE COURT OF COMMON PLEAS,THOMAS NOCELLA,THOMAS,M,NOCELLA,
2003,general,JUDGE OF THE MUNICIPAL COURT,GERARD A KOSINSKI,GERARD,A,KOSINSKI,
2003,general,JUDGE OF THE SUPERIOR COURT,JACK PANELLA,JACK,,PANELLA,
2003,general,JUDGE OF THE SUPERIOR COURT,JOHN J DRISCOLL,JOHN,J,DRISCOLL,
2003,general,JUDGE OF THE SUPERIOR COURT,SEAMUS MCCAFFERY,SEAMUS,,MCCAFFERY,
2003,general,JUDGE OF THE SUPERIOR COURT,GRAINGER BOWMAN,GRAINGER,,BOWMAN,
2003,general,JUDGE OF THE SUPERIOR COURT,PALMER DOLBIN,PALMER,,DOLBIN,
2003,general,JUDGE OF THE SUPERIOR COURT,SUSAN GANTMAN,SUSAN,,GANTMAN,
2003,general,JUDGE OF THE TRAFFIC COURT,EARLENE GREEN CLARK,EARLENE,GREEN,CLARK,
2003,general,JUDGE OF THE TRAFFIC COURT,MICHAEL MC ALEER,MICHAEL,,MCALEER,
2003,general,JUSTICE OF THE SUPREME COURT,MAX BAER,MAX,,BAER,
2003,general,JUSTICE OF THE SUPREME COURT,JOAN ORIE MELVIN,JOAN,ORIE,MELVIN,
2003,general,MAYOR,JOHN F STREET,JOHN,F,STREET,
2003,general,MAYOR,SAM KATZ,SAM,,KATZ,
2003,general,MAYOR,JOHN STAGGS,JOHN,,STAGGS,
2003,general,REGISTER OF WILLS,RONALD R DONATUCCI,RONALD,R,DONATUCCI,
2003,general,REGISTER OF WILLS,ANITA E ZALEWSKI,ANITA,E,ZALEWSKI,
2003,general,SHERIFF,JOHN GREEN,JOHN,D,GREEN,
2003,general,SHERIFF,DAVID H RICHARDS,DAVID,H,RICHARDS,
2003,primary,CITY COMMISSIONERS,ANTHONY CLARK,ANTHONY,,CLARK,
2003,primary,CITY COMMISSIONERS,DONNA RAE AUMENT,DONNA,RAE,AUMENT,
2003,primary,CITY COMMISSIONERS,EDGAR A HOWARD JR,EDGAR,A,HOWARD,JR
2003,primary,CITY COMMISSIONERS,MARGARET M TARTAGLIONE,MARGARET,M,TARTAGLIONE,
2003,primary,CITY COMMISSIONERS,SANDRA A MILLS,SANDRA,A,MILLS,
2003,primary,CITY COMMISSIONERS,WARREN BLOOM,WARREN,,BLOOM,
2003,primary,CITY COMMISSIONERS,BRUCE M REED,BRUCE,M,REED,
2003,primary,CITY COMMISSIONERS,JOSEPH J DUDA,JOSEPH,J,DUDA,
2003,primary,CLERK OF COURTS,HELEN HELLON DIVERS,HELEN,HELLON,DIVERS,
2003,primary,CLERK OF COURTS,VIVIAN T MILLER,VIVIAN,T,MILLER,
2003,primary,CLERK OF COURTS,MARCUS MITCHELL,MARCUS,,MITCHELL,
2003,primary,COUNCIL AT LARGE,ANGEL L ORTIZ,ANGEL,L,ORTIZ,
2003,primary,COUNCIL AT LARGE,BLONDELL REYNOLDS BROWN,BLONDELL,REYNOLDS,BROWN,
2003,primary,COUNCIL AT LARGE,DANIEL P PELLICCIOTTI SR,DANIEL,P,PELLICCIOTTI,SR
2003,primary,COUNCIL AT LARGE,DAVID COHEN,DAVID,,COHEN,
2003,primary,COUNCIL AT LARGE,JAMES F KENNEY,JAMES,F,KENNEY,
2003,primary,COUNCIL AT LARGE,JOSEPH M GRACE,JOSEPH,M,GRACE,
2003,primary,COUNCIL AT LARGE,JUAN F RAMOS,JUAN,F,RAMOS,
2003,primary,COUNCIL AT LARGE,MIKE DRISCOLL,MIKE,,DRISCOLL,
2003,primary,COUNCIL AT LARGE,PETER FIORENTINO,PETER,,FIORENTINO,
2003,primary,COUNCIL AT LARGE,W WILSON GOODE JR,W,WILSON,GOODE,JR
2003,primary,COUNCIL AT LARGE,DAVID OH,DAVID,H,OH,
2003,primary,COUNCIL AT LARGE,DAVID P HARDY,DAVID,P,HARDY,
2003,primary,COUNCIL AT LARGE,FRANK RIZZO,FRANK,,RIZZO,
2003,primary,COUNCIL AT LARGE,JACK KELLY,JACK,,KELLY,
2003,primary,COUNCIL AT LARGE,JAMIE MC DERMOTT,JAMIE,,MCDERMOTT,
2003,primary,DISTRICT COUNCIL,FRANK J DI CICCO,FRANK,J,DICICCO,
2003,primary,DISTRICT COUNCIL,RICK A CATALDI,RICK,A,CATALDI,
2003,primary,DISTRICT COUNCIL,BRIAN J O NEILL,BRIAN,J,ONEILL,
2003,primary,DISTRICT COUNCIL,ANNA C VERNA,ANNA,C,VERNA,
2003,primary,DISTRICT COUNCIL,PAULA A TERRERI,PAULA,A,TERRERI,
2003,primary,DISTRICT COUNCIL,JANNIE L BLACKWELL,JANNIE,L,BLACKWELL,
2003,primary,DISTRICT COUNCIL,MICHAEL A NUTTER,MICHAEL,A,NUTTER,
2003,primary,DISTRICT COUNCIL,JAY M FEINSCHIL,JAY,M,FEINSCHIL,
2003,primary,DISTRICT COUNCIL,DARRELL L CLARKE,DARRELL,L,CLARKE,
2003,primary,DISTRICT COUNCIL,JOAN L KRAJEWSKI,JOAN,L,KRAJEWSKI,
2003,primary,DISTRICT COUNCIL,VANDY L PARKS,VANDY,L,PARKS,
2003,primary,DISTRICT COUNCIL,KATHLEEN M FITZPATRICK,KATHLEEN,M,FITZPATRICK,
2003,primary,DISTRICT COUNCIL,RICHARD T MARIANO,RICHARD,T,MARIANO,
2003,primary,DISTRICT COUNCIL,NESTOR E GONZALEZ,NESTOR,E,GONZALEZ,
2003,primary,DISTRICT COUNCIL,DONNA REED MILLER,DONNA,REED,MILLER,
2003,primary,DISTRICT COUNCIL,GREG PAULMIER,GREG,,PAULMIER,
2003,primary,DISTRICT COUNCIL,MARC DE BEARY,MARC,DE,BEARY,
2003,primary,DISTRICT COUNCIL,DEBORAH WILLIAMS,DEBORAH,L,WILLIAMS,
2003,primary,DISTRICT COUNCIL,MARIAN B TASCO,MARIAN,B,TASCO,
2003,primary,DISTRICT COUNCIL,MATTHEW T MC KEON,MATTHEW,T,MCKEON,
2003,primary,JUDGE OF THE COURT OF COMMON PLEAS,BRAD MOSS,BRAD,,MOSS,
2003,primary,JUDGE OF THE COURT OF COMMON PLEAS,BRENDA FRAZIER CLEMONS,BRENDA,FRAZIER,CLEMONS,
2003,primary,JUDGE OF THE COURT OF COMMON PLEAS,CATERIA R MCCABE,CATERIA,R,MCCABE,
2003,primary,JUDGE OF THE COURT OF COMMON PLEAS,DORIS PECHKUROW,DORIS,,PECHKUROW,
2003,primary,JUDGE OF THE COURT OF COMMON PLEAS,FRANK PALUMBO,FRANK,,PALUMBO,
2003,primary,JUDGE OF THE COURT OF COMMON PLEAS,GLENN B BRONSON,GLENN,B,BRONSON,
2003,primary,JUDGE OF THE COURT OF COMMON PLEAS,HOLLY J FORD,HOLLY,J,FORD,
